Sample_ID,id,species,origin,transplant,RTEtime_months,status.survival,extension_mm,density_g.cm3,tissue.vol_ml,tissue.area_cm2,chla.conc_ug.ml,zoox.conc_cell.ml,prot.conc_mg.ml,zoox.cells.cm2,chla.ug.cm2,chla.ug.cell,chla.10.6.ug.cm2,protein.mg.cm2,zoox.10.6.cells.cm2,Origin_code,Origin_name,Origin_type,treatment_Origin-Dest,Destination_code,Destination_type,Destination_name,pH_Destination,transplant.position,Colony_ID,coral.collection.date_YYYY-MM-DD,RTE.deployment.date_YYYY-MM-DD,sampling.date.RNAlater_year2_YYYY-MM-DD,RNA-seq
PC_370_N_Sid_yr2,370,,,,,,,,,,,,,,,,,,,PC,Pargos.Control,Control,control_ojo,N,ojo,Ojo.Norte,Low,N10,549,14/12/12,18/12/12,14/1/15,Yes
PC_371_C_Sid_yr2,371,Siderastrea,Control,Control,24,0,5.2,1.771962147,10,10.1523131,4.62056,3216667,0.448,3168407.996,4.55,1.43644E-06,1.44,0.44,3.17,PC,Pargos.Control,Control,control_control,C,control,Control.Laja,High,C31,617,14/12/12,17/12/12,15/1/15,Yes
PC_372_La_Sid_yr2,372,Siderastrea,Control,Ojo,24,0,3.9,1.562246964,16,2.73872023,11.5794,3100000,0.395,18110648.71,67.65,3.73529E-06,3.74,2.31,18.11,PC,Pargos.Control,Control,control_ojo,La,ojo,Ojo.Laja,Low,L34,617,14/12/12,17/12/12,15/1/15,Yes
PC_373_N_Sid_yr2,373,,,,,,,,,,,,,,,,,,,PC,Pargos.Control,Control,control_ojo,N,ojo,Ojo.Norte,Low,N4,617,14/12/12,18/12/12,14/1/15,Yes
PC_374_C_Sid_yr2,374,Siderastrea,Control,Control,24,0,2,,3,1.80846244,2.0438,550000,0.045,912377.2568,3.39,0.000003716,3.72,0.07,0.91,PC,Pargos.Control,Control,control_control,C,control,Control.Laja,High,C33,703,14/12/12,17/12/12,15/1/15,Yes
PC_375_La_Sid_yr2,375,Siderastrea,Control,Ojo,24,0,4.5,1.254185693,6,6.4166112,31.21184,7366667,0.314,6888371.544,29.19,4.2369E-06,4.24,0.29,6.89,PC,Pargos.Control,Control,control_ojo,La,ojo,Ojo.Laja,Low,L52,703,14/12/12,17/12/12,15/1/15,Yes
PC_376_N_Sid_yr2,376,,,,,,,,,,,,,,,,,,,PC,Pargos.Control,Control,control_ojo,N,ojo,Ojo.Norte,Low,N19,703,14/12/12,18/12/12,14/1/15,Yes
PO_331_C_Sid_yr2,331,Siderastrea,Ojo,Control,24,0,2.5,1.427867384,6,2.6641872,3.90408,1150000,0.155,2589908.097,8.79,3.39485E-06,3.39,0.35,2.59,PO,Pargos.Ojo,Ojo,ojo_control,C,control,Control.Laja,High,C15,521,14/12/12,17/12/12,15/1/15,Yes
PO_332_La_Sid_yr2,332,Siderastrea,Ojo,Ojo,24,0,5.7,1.242825607,13,6.2747458,54.35516,9000000,0.69,18646173.68,112.61,6.03946E-06,6.04,1.43,18.65,PO,Pargos.Ojo,Ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L36,521,14/12/12,17/12/12,15/1/15,Yes
PO_333_N_Sid_yr2,333,,,,,,,,,,,,,,,,,,,PO,Pargos.Ojo,Ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N41,521,14/12/12,18/12/12,14/1/15,Yes
PO_334_C_Sid_yr2,334,Siderastrea,Ojo,Control,24,0,3.8,,6,5.3632992,7.0266,1666667,0.149,1864524.358,7.86,4.21596E-06,4.22,0.17,1.86,PO,Pargos.Ojo,Ojo,ojo_control,C,control,Control.Laja,High,C14,661,14/12/12,17/12/12,15/1/15,Yes
PO_335_La_Sid_yr2,335,Siderastrea,Ojo,Ojo,24,0,,,15,,36.70892,7900000,0.688,,,4.6467E-06,4.65,,,PO,Pargos.Ojo,Ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L28,661,14/12/12,17/12/12,15/1/15,Yes
PO_336_N_Sid_yr2,336,,,,,,,,,,,,,,,,0.00,,,PO,Pargos.Ojo,Ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N28,661,14/12/12,18/12/12,14/1/15,Yes
PO_337_C_Sid_yr2,337,Siderastrea,Ojo,Control,24,0,2.7,1.538586957,10,6.8088608,4.49252,1225000,0.785,1799126.221,6.60,3.66736E-06,3.67,1.15,1.80,PO,Pargos.Ojo,Ojo,ojo_control,C,control,Control.Laja,High,C4,665,14/12/12,17/12/12,15/1/15,Yes
PO_338_La_Sid_yr2,338,Siderastrea,Ojo,Ojo,24,0,3.8,1.377498388,10,5.55411743,22.77896,4833333,0.697,8702252.088,41.01,4.71289E-06,4.71,1.25,8.70,PO,Pargos.Ojo,Ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L7,665,14/12/12,17/12/12,15/1/15,Yes
PO_339_N_Sid_yr2,339,,,,,,,,,,,,,,,,,,,PO,Pargos.Ojo,Ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N23,665,14/12/12,18/12/12,14/1/15,Yes
PO_340_C_Sid_yr2,340,Siderastrea,Ojo,Control,24,0,1.9,,4,2.32142258,0.86052,180000,0.026,310154.6466,1.48,4.78067E-06,4.78,0.04,0.31,PO,Pargos.Ojo,Ojo,ojo_control,C,control,Control.Laja,High,C32,653,14/12/12,17/12/12,15/1/15,Yes
PO_341_La_Sid_yr2,341,Siderastrea,Ojo,Ojo,24,0,2.5,1.317516406,9,3.50205896,27.58464,3200000,0.35,8223733.618,70.89,8.6202E-06,8.62,0.90,8.22,PO,Pargos.Ojo,Ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L57,653,14/12/12,17/12/12,15/1/15,Yes
PO_342_N_Sid_yr2,342,,,,,,,,,,,,,,,,,,,PO,Pargos.Ojo,Ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N5,653,14/12/12,18/12/12,14/1/15,Yes
PO_343_C_Sid_yr2,343,Siderastrea,Ojo,Control,24,0,3.1,1.478737997,4,7.64409224,1.67836,550000,0.133,287803.9577,0.88,3.05156E-06,3.05,0.07,0.29,PO,Pargos.Ojo,Ojo,ojo_control,C,control,Control.Laja,High,C11,263,14/12/12,17/12/12,15/1/15,Yes
PO_344_La_Sid_yr2,344,Siderastrea,Ojo,Ojo,24,0,3.4,1.226329206,6,7.17384246,38.15468,5216667,0.436,4363073.51,31.91,7.314E-06,7.31,0.36,4.36,PO,Pargos.Ojo,Ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L12,263,14/12/12,17/12/12,15/1/15,Yes
PO_345_N_Sid_yr2,345,,,,,,,,,,,,,,,,,,,PO,Pargos.Ojo,Ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N46,263,14/12/12,18/12/12,14/1/15,Yes
PO_347_La_Sid_yr2,347,Siderastrea,Ojo,Ojo,24,0,4.3,1.362378757,7,3.24645053,18.23736,3450000,0.208,7438893.578,39.32,5.28619E-06,5.29,0.45,7.44,PO,Pargos.Ojo,Ojo,ojo_ojo,La,ojo,Ojo.Laja,Low,L40,648,14/12/12,17/12/12,15/1/15,Yes
PO_348_N_Sid_yr2,348,,,,,,,,,,,,,,,,,,,PO,Pargos.Ojo,Ojo,ojo_ojo,N,ojo,Ojo.Norte,Low,N56,648,14/12/12,18/12/12,14/1/15,Yes
R_003_C_Sid_yr2,3,Siderastrea,Reef,Control,24,0,4.7,1.653835187,7,7.1210136,3.89128,1500000,0.212,1474509.191,3.83,2.59419E-06,2.59,0.21,1.47,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C36,448,15/12/12,17/12/12,15/1/15,Yes
R_004_La_Sid_yr2,4,Siderastrea,Reef,Ojo,24,0,4.8,1.154639175,16,6.15162665,30.92484,7550000,0.676,19637082.49,80.43,4.09601E-06,4.10,1.76,19.64,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L16,448,15/12/12,17/12/12,15/1/15,Yes
R_005_N_Sid_yr2,5,,,,,,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,N,ojo,Ojo.Norte,Low,N42,448,15/12/12,18/12/12,14/1/15,Yes
R_009_C_Sid_yr2,9,Siderastrea,Reef,Control,24,0,7.4,,,,,,,,,,,,,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C48,689,15/12/12,17/12/12,15/1/15,Yes
R_010_La_Sid_yr2,10,Siderastrea,Reef,Ojo,24,0,7,,27,,,2450000,0.168,,,,,,,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L54,689,15/12/12,17/12/12,15/1/15,Yes
R_011_N_Sid_yr2,11,,,,,,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,N,ojo,Ojo.Norte,Low,N47,689,15/12/12,18/12/12,14/1/15,Yes
R_012_C_Sid_yr2,12,Siderastrea,Reef,Control,24,0,4.9,1.740791004,4,,2.80776,1233333,0.139,,,2.27656E-06,2.28,,,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C21,61,15/12/12,17/12/12,15/1/15,Yes
R_013_La_Sid_yr2,13,Siderastrea,Reef,Ojo,24,0,9.3,1.572895277,15,7.879174,39.66712,10500000,0.79,19989404.98,75.52,3.77782E-06,3.78,1.50,19.99,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L39,61,15/12/12,17/12/12,15/1/15,Yes
R_014_N_Sid_yr2,14,,,,,,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,N,ojo,Ojo.Norte,Low,N51,61,15/12/12,18/12/12,14/1/15,Yes
R_015_C_Sid_yr2,15,Siderastrea,Reef,Control,24,0,3.9,1.688376561,5,4.8398659,5.48108,1683333,0.203,1739028.554,5.66,3.25609E-06,3.26,0.21,1.74,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C26,622,15/12/12,17/12/12,15/1/15,Yes
R_017_N_Sid_yr2,17,,,,,,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,N,ojo,Ojo.Norte,Low,N16,622,15/12/12,18/12/12,14/1/15,Yes
R_018_C_Sid_yr2,18,Siderastrea,Reef,Control,24,0,7.5,1.618497914,6,1.04472,2.35696,516667,0.129,2967304.158,13.54,4.56186E-06,4.56,0.74,2.97,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C52,647,15/12/12,17/12/12,15/1/15,Yes
R_019_La_Sid_yr2,19,Siderastrea,Reef,Ojo,24,0,7.1,1.448234984,17,10.1361192,24.66432,4783333,0.524,8022464.949,41.37,5.1563E-06,5.16,0.88,8.02,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L29,647,15/12/12,17/12/12,15/1/15,Yes
R_020_N_Sid_yr2,20,,,,,,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,N,ojo,Ojo.Norte,Low,N21,647,15/12/12,18/12/12,14/1/15,Yes
R_021_C_Sid_yr2,21,Siderastrea,Reef,Control,24,0,5.5,1.701846966,12,6.7358964,5.12204,1350000,0.312,2405025.113,9.12,3.7941E-06,3.79,0.56,2.41,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C6,576,15/12/12,17/12/12,15/1/15,Yes
R_022_La_Sid_yr2,22,Siderastrea,Reef,Ojo,24,0,9.2,1.484726896,35,8.3224476,47.02236,15600000,0.479,65605699.94,197.75,3.01425E-06,3.01,2.01,65.61,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L19,576,15/12/12,17/12/12,15/1/15,Yes
R_024_C_Sid_yr2,24,Siderastrea,Reef,Control,24,0,5.2,1.590317665,9,8.1899676,17.74548,7100000,1.33,7802228.668,19.50,2.49936E-06,2.50,1.46,7.80,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C22,678,15/12/12,17/12/12,15/1/15,Yes
R_025_La_Sid_yr2,25,Siderastrea,Reef,Ojo,24,0,2.9,,5,1.30073214,2.86004,850000,0.057,3267390.625,10.99,3.36475E-06,3.36,0.22,3.27,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L47,678,15/12/12,17/12/12,15/1/15,Yes
R_026_N_Sid_yr2,26,,,,,,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,N,ojo,Ojo.Norte,Low,N24,678,15/12/12,18/12/12,14/1/15,Yes
R_027_C_Sid_yr2,27,Siderastrea,Reef,Control,24,0,8,1.637389034,5,21.8759432,10.1902,3500000,0.292,799965.5073,2.33,2.91149E-06,2.91,0.07,0.80,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C35,686,15/12/12,17/12/12,15/1/15,Yes
R_029_N_Sid_yr2,29,,,,,,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,N,ojo,Ojo.Norte,Low,N17,686,15/12/12,18/12/12,14/1/15,Yes
R_030_C_Sid_yr2,30,Siderastrea,Reef,Control,24,0,8.9,1.63141955,10,14.6774792,19.19552,5210000,0.815,3549655.856,13.08,3.68436E-06,3.68,0.56,3.55,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C46,472,15/12/12,17/12/12,15/1/15,Yes
R_031_La_Sid_yr2,31,Siderastrea,Reef,Ojo,24,0,4.7,,14,,7.4822,1250000,0.864,,,5.98576E-06,5.99,,,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L23,472,15/12/12,17/12/12,15/1/15,Yes
R_033_C_Pp_yr2,33,Porites porites,Reef,Control,24,0,,,10,,10.54924,1866667,0.377,,,5.65138E-06,5.65,,,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C55,454,15/12/12,17/12/12,15/1/15,Yes
R_036_C_Pp_yr2,36,Porites porites,Reef,Control,24,0,34.3,1.647635596,20,5.6946536,17.7044,5016667,0.762,17618866.23,62.18,3.52912E-06,3.53,2.68,17.62,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C13,610,15/12/12,17/12/12,15/1/15,Yes
R_045_C_Pp_yr2,45,Porites porites,Reef,Control,24,0,39.1,1.722061192,5,,6.49684,,,,,,,,,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C18,144,15/12/12,17/12/12,15/1/15,Yes
R_048_C_Pp_yr2,48,Porites porites,Reef,Control,24,0,18.7,1.339451982,11,4.32510503,10.30276,3966667,0.527,10088387.84,26.20,2.59733E-06,2.60,1.34,10.09,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C5,199,15/12/12,17/12/12,15/1/15,Yes
R_049_La_Pp_yr2,49,Porites porites,Reef,Ojo,24,0,11.4,1.28680935,10,,20.90908,2733333,0.433,,,7.64966E-06,7.65,,,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L55,199,15/12/12,17/12/12,15/1/15,Yes
R_051_C_Pp_yr2,51,Porites porites,Reef,Control,24,0,26.1,1.652942277,7,5.8494728,2.30948,983333,0.202,1176743.826,2.76,2.34862E-06,2.35,0.24,1.18,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C53,124,15/12/12,17/12/12,15/1/15,Yes
R_052_La_Pp_yr2,52,Porites porites,Reef,Ojo,24,1,,,,,,,,,,,,,,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L11,124,15/12/12,17/12/12,15/1/15,Yes
R_054_C_Pp_yr2,54,Porites porites,Reef,Control,24,0,15.9,1.720439049,,,,4133333,,,,,,,,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C20,97,15/12/12,17/12/12,15/1/15,Yes
R_057_C_Pp_yr2,57,Porites porites,Reef,Control,24,0,17.7,1.715022936,40,20.4124944,49.56816,7300000,1.039,14304964.12,97.13,6.79016E-06,6.79,2.04,14.30,R,Reef,Reef,reef_control,C,control,Control.Laja,High,C29,666,15/12/12,17/12/12,15/1/15,Yes
R_058_La_Pp_yr2,58,Porites porites,Reef,Ojo,24,0,10.2,1.204991087,5,0.3337344,18.90208,2000000,0.143,29963947.38,283.19,9.45104E-06,9.45,2.14,29.96,R,Reef,Reef,reef_ojo,La,ojo,Ojo.Laja,Low,L38,666,15/12/12,17/12/12,15/1/15,Yes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,